"max_ma","min_ma","stage_name","avg_ma"
312.7,305.9,"Moscovian",309.3
312.7,305.9,"Moscovian",309.3
305.9,303.7,"Kasimovian",304.8
346.7,330.9,"Visean",338.8
407.6,393.3,"Emsian",400.45
387.7,382.7,"Givetian",385.2
298.9,293.52,"Asselian",296.21
298.9,293.52,"Asselian",296.21
303.7,298.9,"Gzhelian",301.3
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
47.8,41.2,"Lutetian",44.5
161.5,145,"Kimmeridgian",153.25
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
161.5,154.8,"Oxfordian",158.15
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
149.2,145,"Tithonian",147.1
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
161.5,154.8,"Oxfordian",158.15
72.1,66,"Maastrichtian",69.05
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
109.9,106.2,"Albian",108.05
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
113,100.5,"Albian",106.75
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
113,109.9,"Albian",111.45
113,109.9,"Albian",111.45
113,100.5,"Albian",106.75
93.9,89.8,"Turonian",91.85
93.9,89.8,"Turonian",91.85
93.9,89.8,"Turonian",91.85
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
113,100.5,"Albian",106.75
121.4,113,"Aptian",117.2
121.4,119.5,"Aptian",120.45
121.4,119.5,"Aptian",120.45
121.4,119.5,"Aptian",120.45
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
125.77,121.4,"Barremian",123.585
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
139.8,132.6,"Valanginian",136.2
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,113,"Aptian",117.2
121.4,119.5,"Aptian",120.45
121.4,113,"Aptian",117.2
113,100.5,"Albian",106.75
139.8,132.6,"Valanginian",136.2
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
132.6,125.77,"Hauterivian",129.185
145,139.8,"Berriasian",142.4
145,139.8,"Berriasian",142.4
145,139.8,"Berriasian",142.4
145,139.8,"Berriasian",142.4
161.5,149.2,"Oxfordian",155.35
161.5,154.8,"Oxfordian",158.15
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
125.77,121.4,"Barremian",123.585
161.5,149.2,"Oxfordian",155.35
161.5,149.2,"Oxfordian",155.35
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
165.3,161.5,"Callovian",163.4
125.77,121.4,"Barremian",123.585
336.3,327.4,"Visean",331.85
66,61.6,"Danian",63.8
66,56,"Selandian-Thanetian",61
59.2,56,"Selandian-Thanetian",57.6
66,56,"Selandian-Thanetian",61
56,47.8,"Ypresian",51.9
47.8,41.2,"Lutetian",44.5
47.8,41.2,"Lutetian",44.5
66,61.6,"Danian",63.8
66,56,"Selandian-Thanetian",61
100.5,89.8,"Cenomanian",95.15
100.5,93.9,"Cenomanian",97.2
100.5,93.9,"Cenomanian",97.2
100.5,93.9,"Cenomanian",97.2
93.9,89.8,"Turonian",91.85
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
72.1,66,"Maastrichtian",69.05
